,Unnamed: 0,CV System RMSE,CV X-Recovery L0 Err,CV X-Recovery L2 Err,Cardinality,Experiment,Infeasible System RMSE,Infeasible X-Recovery L0 Err,Infeasible X-Recovery L2 Err,L0 Thresh,M,Method,N,Noise STD,Normalize A,Type A,d_x0,num_bits,type_x0,w_fp,x0_max,x0_min
24,24,0.04003802264240981,0.0,0.058142176425797665,40.0,12.0,0.009028898509252294,0.0,0.05810158170693795,0.1,90.0,Lasso,160.0,0.0,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
25,25,0.5533676011463569,26.0,0.8450955900751359,40.0,12.0,0.1322225147818581,26.0,0.8450955900751359,0.1,90.0,OMP,160.0,0.0,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
26,26,0.008857796748880964,0.0,0.013850615403911146,40.0,13.0,0.0035960491493444227,0.0,0.013850615403911146,0.1,90.0,Lasso,160.0,0.0,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
27,27,0.5632538867953514,40.0,1.0,40.0,13.0,0.35693160989517536,30.0,0.964563106473169,0.1,90.0,OMP,160.0,0.0,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
28,28,0.3804076119219759,46.0,0.6463574726317587,40.0,14.0,0.0011796966262399547,25.0,0.6460223410830472,0.1,90.0,Lasso,160.0,0.0,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
29,29,0.5371443210921949,31.0,0.928368763558428,40.0,14.0,0.10512566483059556,28.0,0.853280094757202,0.1,90.0,OMP,160.0,0.0,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
30,30,0.11324045142037535,9.0,0.16004107643860818,40.0,15.0,0.02035886810515366,8.0,0.16004107643860818,0.1,90.0,Lasso,160.0,0.0,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
31,31,0.5941937756301438,32.0,0.8938266075705305,40.0,15.0,0.19374187853782487,31.0,0.8938266075705305,0.1,90.0,OMP,160.0,0.0,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
32,32,0.3741392600195151,54.0,0.6351441815849869,40.0,16.0,0.029680126844594677,17.0,0.6224038621835597,0.1,90.0,Lasso,160.0,0.0,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
33,33,0.547476683835837,25.0,0.8339413094291753,40.0,16.0,0.19635330748624624,25.0,0.8339413094291753,0.1,90.0,OMP,160.0,0.0,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
34,34,0.0038261742087338404,0.0,0.006419963815453239,40.0,17.0,0.00234840713498923,0.0,0.006419963815453239,0.1,90.0,Lasso,160.0,0.0,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
35,35,0.5443488612485913,22.0,0.8244424966277597,40.0,17.0,0.2484938868694791,21.0,0.812395792689197,0.1,90.0,OMP,160.0,0.0,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
36,36,0.4567877334974553,38.0,0.7271416835786209,40.0,18.0,0.050639974608540576,25.0,0.7262901239884945,0.1,90.0,Lasso,160.0,0.0,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
37,37,0.5173887655342173,26.0,0.8393936972583264,40.0,18.0,0.2672938150200874,26.0,0.8393936972583264,0.1,90.0,OMP,160.0,0.0,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
38,38,0.34918200518371023,36.0,0.5480328575544244,40.0,19.0,0.016740412523135503,19.0,0.5476114301346997,0.1,90.0,Lasso,160.0,0.0,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
39,39,0.6592703856794819,37.0,1.044932094651903,40.0,19.0,0.7056375726041386,37.0,1.0,0.1,90.0,OMP,160.0,0.0,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
40,40,0.5280916411205963,28.0,0.7440322669382889,40.0,0.0,0.075387132978497,23.0,0.7207017252248324,0.1,90.0,Lasso,160.0,0.05,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
41,41,0.6237229456571806,31.0,0.9634744655107936,40.0,0.0,0.474582252297498,31.0,0.9589890574785036,0.1,90.0,OMP,160.0,0.05,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
42,42,0.3259766622166941,39.0,0.5152868468323057,40.0,1.0,0.005057955345237475,25.0,0.5148454944912327,0.1,90.0,Lasso,160.0,0.05,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
43,43,0.5199922505883486,32.0,0.9648066745601778,40.0,1.0,0.27762670666605604,32.0,0.9648066745601778,0.1,90.0,OMP,160.0,0.05,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
44,44,0.1830060909267324,19.0,0.2659771013163074,40.0,2.0,0.022807262088780148,17.0,0.2659771013163074,0.1,90.0,Lasso,160.0,0.05,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
45,45,0.590381715059782,22.0,0.8771971076255898,40.0,2.0,0.2484223121515259,22.0,0.8733923476911598,0.1,90.0,OMP,160.0,0.05,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
46,46,0.14022238126337233,11.0,0.1845267502087341,40.0,3.0,0.027647961990644548,4.0,0.18448397544193035,0.1,90.0,Lasso,160.0,0.05,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
47,47,0.5568181079612107,27.0,0.8397555500021688,40.0,3.0,0.1175522201655067,26.0,0.8397555500021688,0.1,90.0,OMP,160.0,0.05,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
48,48,0.4412683365369656,45.0,0.6312062765471853,40.0,4.0,0.004388453276718878,25.0,0.6283207938157642,0.1,90.0,Lasso,160.0,0.05,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
49,49,0.6069288154450136,29.0,0.9178765906463566,40.0,4.0,0.3735948983802895,29.0,0.9150891416901246,0.1,90.0,OMP,160.0,0.05,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
50,50,0.4679812269515774,47.0,0.6993645984539915,40.0,5.0,0.013431418701605032,29.0,0.6986386988880106,0.1,90.0,Lasso,160.0,0.05,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
51,51,0.7405289111325514,36.0,0.9890979629846944,40.0,5.0,0.3963040071994813,32.0,0.9677855217249428,0.1,90.0,OMP,160.0,0.05,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
52,52,0.39417384177733505,41.0,0.6765384647051105,40.0,6.0,0.016217765508744368,29.0,0.6688416512591179,0.1,90.0,Lasso,160.0,0.05,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
53,53,0.5646044015307494,33.0,0.918948143584868,40.0,6.0,0.2421781134869719,31.0,0.9133060516647028,0.1,90.0,OMP,160.0,0.05,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
54,54,0.3664968470599863,43.0,0.6341448019961928,40.0,7.0,0.0012075367409066313,23.0,0.6322891815581978,0.1,90.0,Lasso,160.0,0.05,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
55,55,0.5337681912343705,31.0,0.9291389399369182,40.0,7.0,0.1217924291473137,28.0,0.9247171813346472,0.1,90.0,OMP,160.0,0.05,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
56,56,0.24008235902499306,20.0,0.3610096878648417,40.0,8.0,0.026886961352087024,19.0,0.3609764811086021,0.1,90.0,Lasso,160.0,0.05,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
57,57,0.5837968814777404,34.0,0.9715377585865228,40.0,8.0,0.5264674429291223,34.0,0.9715377585865228,0.1,90.0,OMP,160.0,0.05,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
